Token,Item Name,Description,Category,SKU,Variation Name,Price,Current Quantity Green Ridge LLC.,New Quantity Green Ridge LLC.,Stock Alert Enabled Green Ridge LLC.,Stock Alert Count Green Ridge LLC.,Tax - Sales Tax (6.75%)
43CNXW2N6ZCAKXBDKFU54BXR,$1 Donation ,$1.00 donation ,Donation,,Regular,1.00,,,,,N
INGMXZFDNAJJV7TZ6AWSC4NM,$10 Donation ,$10 Donation ,Donation,,Regular,10.00,,,,,N
NUGN2IJR64TOVZRS46KV2FQK,$5 Donation ,$5 Donation ,Donation,,Regular,5.00,,,,,N
ILBZALC3HQORFW66QCORIBVP,10' Stand ,10' Stand ,Stands,,Regular,variable,,,,,Y
SAUJMWBUTA5CKRGT4H36OXEH,"28"" Jack Frost","28"" Jack Frost",Wreaths,,Regular,27.00,,,,,Y
W3CYMOCGFDCIR4WEELXCDV77,4 Foot,Flocking for 4 foot tree,Flocking ,,Regular,40.00,,,,,Y
TDFOKJRCEWZJL2BTOAZAUJDW,5 Foot,Flocking for 5 foot tree ,Flocking ,,Regular,50.00,,,,,Y
VTKK2D7R4AW3O25355WOKGAU,6 Foot,Flocking for 6 foot tree ,Flocking ,,Regular,60.00,,,,,Y
GGANJ5UGUEV6X2VLOZQW4FNG,6' Stand,6' Stand,Stands,,Regular,variable,,,,,Y
55PUVUEVD33SN2XYOPYEUWNZ,7 Foot,Flocking for 7 foot tree ,Flocking ,,Regular,70.00,,,,,Y
A536T6OKVLVXQJ6XEO5OLUSM,8 Foot,Flocking for 8 foot tree ,Flocking ,,Regular,80.00,,,,,Y
SMFU3P6HS3OIFC242F5PKDRI,8' Stand ,8' Stand ,Stands,,Regular,variable,,,,,Y
WIW6XL5RGDZXBINKGZL6BHN4,Alpine 10-11,Alpine 10-11,Alpine Trees,,Regular,159.99,,,,,Y
WZON6A2Z2UFTF7ELKI3WPNDV,Alpine 11-12,Alpine 11-12,Alpine Trees,,Regular,169.99,,,,,Y
3JVQEDL5AI7TFRZQTTH57PVL,Alpine 12-13,Alpine 12-13,Alpine Trees,,Regular,179.99,,,,,Y
EMKG5OOHJF4AKTLHMUQ2Y6IP,Alpine 13-14,Alpine 13-14,Alpine Trees,,Regular,229.00,,,,,Y
YMUDXAP6VEYFJ6CNF4JNLYKN,Alpine 14-15,Alpine 14-15,Alpine Trees,,Regular,249.00,,,,,Y
7MZBQT3VXO5R4N6TOELV7FKM,Alpine 3-4,Alpine 4-5,Alpine Trees,,Regular,39.99,,,,,Y
FPAOMUEVJSVP6JU3QRTWUFJN,Alpine 4-5,Alpine 4-5,Alpine Trees,,Regular,49.99,,,,,Y
XNE6J5AJWUD2EG4MY5G7L7TV,Alpine 5-6,Alpine 5-6,Alpine Trees,,Regular,59.99,,,,,Y
73N3ANTPT7NW6BPHN36R3WQE,Alpine 6-7,Alpine 6-7,Alpine Trees,,Regular,69.99,,,,,Y
APIDGENXBXPNJT4ZHUTVWCNI,Alpine 7-8,Alpine 7-8,Alpine Trees,,Regular,89.99,,,,,Y
4LV37RRJFMTBIQDLY32QQH2O,Alpine 8-9,Alpine 8-9,Alpine Trees,,Regular,109.99,,,,,Y
7I3CUUA6AZWO3X6LPXEXNCGM,Alpine 9-10,Alpine 9-10,Alpine Trees,,Regular,129.99,,,,,Y
