Category,Items Sold,Gross Sales,Items Refunded,Refunds,Discounts & Comps,Net Sales,Taxes
Alpine Trees,333,"$29,899.83 ",0,$0.00 ,($457.35),29442.48,"$1,986.59 "
Donation,3,$60.00 ,0,$0.00 ,$0.00 ,60.00,$0.00 
Flocking ,25,"$1,834.97 ",-1,($60.00),($6.00),1768.97,$119.41 
Food,65,$159.00 ,-2,($6.00),($2.70),150.30,$10.14 
Fraser Trees,46,"$3,589.54 ",0,$0.00 ,($37.20),3552.34,$239.81 
Grand Trees,192,"$15,648.13 ",-2,($239.98),($214.35),15193.80,"$1,025.20 "
Miscellaneous ,42,$756.62 ,0,$0.00 ,($11.40),745.22,$50.22 
Noble Trees,81,"$7,844.21 ",-4,($409.96),($102.00),7332.25,$494.89 
Nordmann Trees,79,"$7,502.21 ",0,$0.00 ,($54.60),7447.61,$502.66 
Stands,77,"$1,392.79 ",-2,($30.00),($21.45),1341.34,$90.46 
Wreaths,85,"$2,843.76 ",0,$0.00 ,($64.05),2779.71,$187.64 
