Category,Items Sold,Gross Sales,Items Refunded,Refunds,Discounts & Comps,Net Sales,Taxes
Alpine Trees,65,"$7,449.42 ",0,$0.00 ,($163.50),7285.92,$491.68 
Donation,2,$55.00 ,0,$0.00 ,$0.00 ,55.00,$0.00 
Flocking ,12,$964.97 ,0,$0.00 ,$0.00 ,964.97,$65.13 
Food,63,$153.00 ,0,$0.00 ,($2.70),150.30,$10.14 
Fraser Trees,25,"$2,019.75 ",0,$0.00 ,($37.20),1982.55,$133.84 
Grand Trees,89,"$7,806.14 ",0,$0.00 ,($104.85),7701.29,$519.66 
Miscellaneous ,21,$214.79 ,0,$0.00 ,($6.15),208.64,$14.03 
Noble Trees,46,"$4,384.56 ",0,$0.00 ,($57.00),4327.56,$292.10 
Nordmann Trees,73,"$6,962.27 ",0,$0.00 ,($54.60),6907.67,$466.21 
Stands,50,$919.85 ,0,$0.00 ,($15.90),903.95,$60.98 
Wreaths,58,"$1,919.83 ",0,$0.00 ,($48.15),1871.68,$126.33 
